body,number,time,user
"Je suis opposé à ce projet , sauvegarde  du site",2290,2025-04-28 17:43:00,Anonyme
"Ça fait des années qu'il faut moderniser le site et prévoir les aléas climatiques...ce projet grâce à un investissement de diversité économique sur 10 mois de l'année permettrait de sauver la station et d'assurer le renouvellement de la Dsp dans un avenir très proche.
Je pense que les élus travaillent pour le bien de la Commune et je serai plutôt FAVORABLE au projet si tous les aspects environnementaux sont respectés.",2289,2025-04-28 17:42:00,Anonyme
"CE projet à toute sa place sur notre commune dont la seule activité est le tourisme.
C'est une chance d'avoir un investisseur qui va venir booster le développement de Villard de Lans. Si le projet est respecté ,le solde de cette opération sera certainement positif.
Heureusement que nos parents et grands parents ont eu des visions d'avenir .
Le Vercors n'aurait pas aujourd'hui l'attractivité dont il bénéficie. 
La SEVLC a toujours été la locomotive de notre commune et ce ne sont pas les commerçants ,hoteliers ,restaurateurs ,loueurs ,artisans ,moniteurs qui vous diront le contraire .C'est peut être difficile à admettre lorsque nos revenus ont toujours été sécurisés...!!!!!!!
Alors un grand OUI au projet.",2288,2025-04-28 17:41:00,Anonymisé
"Madame, monsieur, 
Pour des raisons environnementales et de non inclusion des populations locales, je m'oppose totalement à ce projet. 
Audrey Mikaelian 
Journaliste sceintifique",2287,2025-04-28 17:38:00,Anonymisé
Je suis contre ce projet. L'immobilier sur le plateau est très tendu. Il faut garder des projets pour loger le personnel au lieu de loger des vtouristes.,2286,2025-04-28 17:31:00,Anonyme
"Villardienne depuis 1963 j'ai vécu l'évolution du tourisme sur notre plateau des 4 Montagnes ... Mais là, trop c'est trop ... !!! Je dis NON au projet de Tony Parker ... Nous voulons garder le Vercors sans ce surtourisme qui nous est imposé en nous faisant miroiter que c'est pour sauver la station... NON...NON....NON..!!!",2285,2025-04-28 17:30:00,Anonyme
"Je suis absolument contre ce projet qui nie les impacts environnementaux, pourtant majeurs et délétères,  dans la poursuite d'un idéalisme économique obsolète et destructeur. Le Vercors est un territoire qui peut et doit montrer la voie pour une transition écologique et sociétale. Ce projet s'inscrit dans la trajectoire opposée. Nous avons bien mieux à faire de nos finances pour investir dans un futur durable. De qui se moque-t-on ?",2284,2025-04-28 17:30:00,Anonyme
Le projet est clairement destructeur de valeur pour l'ensemble des habitants du plateau. Nous amenons de l'immobilier à 90% dans ce projet alors que nous ne remplissons pas la moitié des lits touristiques à l'année dans le vercors. Il faut amener des activités eu lieu de l'immobilier.,2283,2025-04-28 17:29:00,Anonyme
"J'ai du respect et de l'admiration pour TP, néanmoins je suis contre un projet favorisant une certaine classe aisée et portant atteinte à l'environnement, il me semble qu'un projet moins ""pharaonique"" doit être possible ! Mais c'est aux habitants de la région de décider ce qui est bon ou mauvais pour eux et leurs enfants !!",2282,2025-04-28 17:28:00,Anonymisé
"J'ai du respect et de l'admiration pour TP, néanmoins je suis contre un projet favorisant une certaine classe aisée et portant atteinte à l'environnement, il me semble qu'un projet moins ""pharaonique"" doit être possible ! Mais c'est aux habitants de la région de décider ce qui est bon ou mauvais pour eux et leurs enfants !!",2281,2025-04-28 17:27:00,Anonymisé
Cette contribution est prise en compte mais n'est pas visible car elle comprend des propos considérés comme non publiables.,540,2025-04-03 12:40:00,Anonyme
"Favorable au projet,Aux opposant, que proposez vous à part critiquer? Vous n'êtes juste bon à ça,quand je lis les commentaires rébarbatifs de certains escrolos qui sont contre tout,allez vivre au fin fond de l'Ariège,mais laissez nos emplois et notre village svp!",539,2025-04-03 12:36:00,Anonyme
"Aucun intérêt à ce projet de développement touristique sur le vercors alors qu’il y a déjà beaucoup de monde 
Les Glovettes peuvent etre rénovés avec bénéfices sans refaire une résidence de luxe à côté !
On manque d’eau et la neige va disparaître . C’est une aberration de développer un projet de développement du ski",538,2025-04-03 12:05:00,Anonyme
"Je suis contre ce projet hors du temps..nous sommes une station située à 1100 mètre avec des hivers sans neige! A quoi va servir ce projet?fait en plus sur un parking public qui était gratuit et deviendra un parking privé payant...
Les élus marchent sur la tête.",537,2025-04-03 12:02:00,Anonyme
"Je suis contre ce projet à cet endroit. Le nouvel établissement va co.cirrencer les magasins existants, le parking va devenir payants, le site est déjà saturé",536,2025-04-03 11:57:00,Anonyme
